HOG	OG	Gene Tree Parent Clade	Occupancy	Acroaspis_sp_IDV6688	Acrosomoides_sp_IDV7426	Ainerigone_saitoi	Ambicodamus_IDV6680	Antrodiaetus_roretzi	Araneus_inustus	Arcuphantes_paiki	Arcuphantes_tamaensis	Arcuphantes_uenoi	Argiope_aetheroides	Argiope_bruennichi	Argiope_keyserlingi	Argyrodes_flavescens	Argyrodes_miniaceus	Backobourkia_brouni	Baryphymula_kamakuraensis	Caerostris_darwini	Caerostris_extrusa	Chrysso_octomaculata	Clubiona_robusta	Cryptachaea_gigantipes	Cyclosa_octotuberculata	Cyrtarachne_bufo	Cyrtophora_cicatrosa	Deinopis_sp_IDV6783	Deinopis_sp_IDV7365	Desis_marina	Diaea_subdola	Doenitzius_peniculus	Doenitzius_pruvus	Dolophones_sp_IDV6683	Drapetisca_socialis	Drosophila_melanogaster	Ebrechtella_tricuspidata	Eriophora_pustulosa	Falcileptoneta_japonica	Floronia_bucculenta	Gnathonarium_exsiccatum	Helpis_minitabunda	Hypselistes_asiaticus	Hypsosinga_pygmaea	Larinia_phthisica	Lariniaria_argiopiformis	Larinioides_cornutus	Latrodectus_hasseltii	Lehtinelagia_evanida	Leucauge_dromedari	Masirana_silvicola	Mesida_sp_IDV5268	Metazygia_zilloides	Metleucauge_yunohamensis	Microbathyphantes_tateyamaensis	Neoantistea_quelpartensis	Neon_minutus	Neoscona_adianta	Neoscona_nautica	Neoscona_scylla	Neoscona_subpullata	Neoscona_theisi	Neriene_clathrata	Neriene_oidedicata	Nuctenea_umbratica	Orchestina_okitsui	Ordgarius_hobsoni	Ordgarius_sexspinosus	Oxytate_striatipes	Ozyptila_nongae	Parasteatoda_culicivora	Paratheuma_awasensis	Pardosa_graminea	Pharta_brevipalpus	Phonognatha_graeffei	Phrurolithus_coreanus	Piratula_tanakai	Plebs_sachalinensis	Poecilopachys_australasia	Psechrus_IDV5238	Pseudomicrargus_latitegulatus	Rhomphaea_labiata	Robertus_nojimai	Ryojius_japonicus	Saaristoa_nipponica	Saitonia_ojiroensis	Steatoda_grossa	Stephanopis_cambridgei	Stertinius_kumadai	Syedra_oii	Tekellina_sadamotoi	Tetragnatha_brevignatha	Tetragnatha_extensa	Tetragnatha_filiciphilia	Tetragnatha_mandibulata	Tetragnatha_maxillosa	Tetragnatha_paludicola	Tetragnatha_quasimodo	Tetragnatha_stelarobusta	Tetragnatha_vermiformis	Tetragnatha_waikamoi	Tetragnatha_yesoensis	Theridion_varians	Uloborus_diversus	Ummeliata_osakaensis	Zelotes_iriomotensis
N5.HOG0053702	OG0003845	n27	97	IANO01000636.1.p1	ICOJ01036414.1.p1	IBTE01027201.1.p2, IBTE01017990.1.p1	ICBW01033058.1.p1		IAHS01036259.1.p1	IAWN01033426.1.p1	IAKU01016206.1.p2, IAKU01014747.1.p1	IBBK01018492.1.p1	IASB01024683.1.p1	IBFJ01020013.1.p1	IAET01016905.1.p1	IAFU01027904.1.p1	IBQT01017409.1.p1	ICCG01039298.1.p1	IBGF01011340.1.p1	ICOF01036935.1.p1	ICOE01003545.1.p1	IBWR01001213.1.p1	ICJS01045234.1.p1	IBTR01021808.1.p1	IAQZ01006701.1.p1	ICFD01009293.1.p1	IBHY01000633.1.p1, IBHY01020310.1.p1	IBBP01037952.1.p1, IBBP01029643.1.p1	ICOI01029883.1.p1	GIWQ01285709.1.p1	ICGF01035027.1.p1	IBJP01024057.1.p1, IBJP01030688.1.p1	IBVW01013187.1.p1, IBVW01021638.1.p1	IBZG01000734.1.p1	ICKS01041751.1.p1, ICKS01024295.1.p1		ICBZ01051431.1.p1	IBIK01023655.1.p1		ICGA01034182.1.p1	ICCR01050851.1.p1	IAUM01013479.1.p1, IAUM01039901.1.p1	IAOT01010535.1.p1, IAOT01006166.1.p1	ICEG01002568.1.p1	IAJV01015290.1.p1	IAFI01009712.1.p1	IAHZ01009950.1.p1	IBKS01014202.1.p1	IBFM01015205.1.p1	IBHV01034693.1.p1		ICDG01009265.1.p1	IBDY01017022.1.p1	IBVS01016690.1.p1	ICFH01017652.1.p1	IBHE01002650.1.p1	IAIC01014243.1.p1	IBRX01018932.1.p1	ICBF01003317.1.p1	IAEU01028274.1.p1	IBPZ01034162.1.p1	IAXT01020814.1.p1	IAFP01002075.1.p1	IAQC01009923.1.p1	IAPM01000109.1.p1		IAGL01026534.1.p1	ICMU01021171.1.p1	IALM01027375.1.p1	ICBR01006904.1.p1	IBTW01040885.1.p1	IARK01024392.1.p1	ICDS01002644.1.p1	IAWA01023303.1.p1	IATW01008112.1.p1	IBPN01017715.1.p1, IBPN01009460.1.p2, IBPN01043128.1.p1, IBPN01000755.1.p2	IBYA01023289.1.p1	ICHT01033791.1.p1	ICKB01021514.1.p1	IAQN01000582.1.p1	IBJR01003386.1.p2, IBJR01036175.1.p1	ICFA01021103.1.p1	ICAL01022951.1.p1	IBWO01016190.1.p1, IBWO01041683.1.p1	IBAR01004593.1.p1, IBAR01013047.1.p1	IAHB01043292.1.p1	IAPP01019150.1.p1	ICHM01018114.1.p2	IAUC01004175.1.p1	IAXS01029341.1.p1, IAXS01012108.1.p1	IALE01027995.1.p3	GITM01108632.1.p1	IAHF01030405.1.p1, IAHF01023357.1.p1	GITN01083884.1.p1, GITN01083885.1.p1	ICFC01023529.1.p1	ICMP01026282.1.p1	GITO01064772.1.p1, GITO01064771.1.p1	GITP01045095.1.p1		IAJJ01022237.1.p1	GITR01052477.1.p1	IBMZ01034620.1.p1	ICEL01005539.1.p1	GJZJ01273269.1.p1	IBXZ01037872.1.p1	IAHP01020101.1.p1, IAHP01041150.1.p1
N5.HOG0053703	OG0003846	n0	97	IANO01000792.1.p1	ICOJ01019874.1.p1	IBTE01006392.1.p1	ICBW01029199.1.p1		IAHS01043758.1.p1	IAWN01036819.1.p1	IAKU01022077.1.p1, IAKU01040299.1.p1, IAKU01002872.1.p1	IBBK01019477.1.p1, IBBK01032871.1.p1, IBBK01019532.1.p1	IASB01036237.1.p1	IBFJ01031699.1.p1, IBFJ01034376.1.p1	IAET01018298.1.p1	IAFU01027806.1.p1	IBQT01036468.1.p1		IBGF01014922.1.p1, IBGF01042373.1.p1, IBGF01031561.1.p1, IBGF01040501.1.p1	ICOF01016136.1.p1, ICOF01024762.1.p1	ICOE01013385.1.p1, ICOE01011888.1.p1	IBWR01016375.1.p1, IBWR01012151.1.p1	ICJS01024724.1.p1, ICJS01001677.1.p1, ICJS01049856.1.p1	IBTR01021101.1.p1	IAQZ01008642.1.p1	ICFD01013654.1.p1	IBHY01014841.1.p1	IBBP01009554.1.p1	ICOI01017168.1.p1	GIWQ01254098.1.p1, GIWQ01218055.1.p1	ICGF01013668.1.p1	IBJP01006361.1.p1	IBVW01022170.1.p1, IBVW01022309.1.p2	IBZG01025948.1.p1	ICKS01029710.1.p1		ICBZ01013092.1.p1	IBIK01041030.1.p1		ICGA01035308.1.p1, ICGA01033467.1.p1	ICCR01037181.1.p1, ICCR01032090.1.p1	IAUM01039994.1.p1	IAOT01019604.1.p1, IAOT01019604.1.p2	ICEG01002806.1.p1	IAJV01014824.1.p1, IAJV01026839.1.p1	IAFI01013539.1.p2	IAHZ01032418.1.p1	IBKS01034867.1.p1	IBFM01028567.1.p1	IBHV01023871.1.p1		ICDG01013044.1.p1	IBDY01004177.1.p1, IBDY01008625.1.p1	IBVS01030446.1.p1, IBVS01023119.1.p1	ICFH01014514.1.p1, ICFH01035265.1.p1	IBHE01036585.1.p2, IBHE01019440.1.p1, IBHE01003731.1.p1, IBHE01036585.1.p1	IAIC01038673.1.p1	IBRX01015004.1.p1, IBRX01016797.1.p1	ICBF01039974.1.p1	IAEU01008803.1.p1	IBPZ01026439.1.p1, IBPZ01007304.1.p1	IAXT01039614.1.p1, IAXT01041835.1.p1	IAFP01004848.1.p1, IAFP01004848.1.p2, IAFP01002017.1.p1	IAQC01040870.1.p1	IAPM01012149.1.p1		IAGL01031422.1.p1	ICMU01025166.1.p1	IALM01034366.1.p1	ICBR01002810.1.p1	IBTW01016115.1.p1	IARK01012128.1.p1, IARK01023165.1.p1	ICDS01009471.1.p1	IAWA01036930.1.p1	IATW01010098.1.p1, IATW01016741.1.p1	IBPN01044468.1.p1	IBYA01025523.1.p1	ICHT01048280.1.p1	ICKB01023044.1.p1	IAQN01020558.1.p2, IAQN01005254.1.p1, IAQN01020558.1.p1	IBJR01021215.1.p1	ICFA01033273.1.p1, ICFA01015260.1.p1	ICAL01041881.1.p1	IBWO01008144.1.p1	IBAR01017749.1.p1	IAHB01029712.1.p1, IAHB01024065.1.p1, IAHB01021274.1.p1	IAPP01025961.1.p1	ICHM01025038.1.p1	IAUC01003800.1.p1	IAXS01027881.1.p1	IALE01009247.1.p1, IALE01018837.1.p1, IALE01001067.1.p1	GITM01025982.1.p1	IAHF01040396.1.p1, IAHF01009816.1.p1	GITN01090482.1.p1	ICFC01036701.1.p1	ICMP01006303.1.p1	GITO01071359.1.p1	GITP01047834.1.p1	GITQ01056732.1.p1	IAJJ01030978.1.p1	GITR01041849.1.p1	IBMZ01037901.1.p1	ICEL01001368.1.p1, ICEL01013412.1.p1	GJZJ01116342.1.p1	IBXZ01000670.1.p1	IAHP01021391.1.p1
N5.HOG0053704	OG0003847	n3	97	IANO01001589.1.p1	ICOJ01006280.1.p1, ICOJ01009750.1.p1	IBTE01019557.1.p1, IBTE01041633.1.p1	ICBW01001511.1.p1		IAHS01020479.1.p1, IAHS01013897.1.p2	IAWN01010161.1.p1	IAKU01024944.1.p1, IAKU01044775.1.p1	IBBK01040671.1.p1	IASB01008929.1.p1	IBFJ01020523.1.p1	IAET01033281.1.p1	IAFU01002142.1.p1	IBQT01020870.1.p1, IBQT01038105.1.p1	ICCG01024045.1.p1	IBGF01032385.1.p1	ICOF01006731.1.p1, ICOF01026748.1.p1		IBWR01017563.1.p1	ICJS01042149.1.p2	IBTR01034365.1.p1	IAQZ01020285.1.p1	ICFD01040472.1.p1	IBHY01021596.1.p1	IBBP01036763.1.p1, IBBP01012565.1.p1	ICOI01011802.1.p1, ICOI01040807.1.p1	GIWQ01198533.1.p1, GIWQ01113472.1.p1, GIWQ01380520.1.p1, GIWQ01108219.1.p1	ICGF01001935.1.p1	IBJP01007708.1.p2	IBVW01016940.1.p1	IBZG01002403.1.p2	ICKS01004245.1.p1		ICBZ01025232.1.p1	IBIK01044310.1.p1, IBIK01029550.1.p1		ICGA01019397.1.p1	ICCR01045134.1.p1	IAUM01047336.1.p1	IAOT01013671.1.p1, IAOT01022864.1.p1	ICEG01012015.1.p1	IAJV01025016.1.p1	IAFI01005629.1.p1, IAFI01003598.1.p1	IAHZ01024275.1.p1, IAHZ01007856.1.p1	IBKS01018117.1.p1	IBFM01037343.1.p1	IBHV01021627.1.p1		ICDG01034348.1.p1, ICDG01018130.1.p1	IBDY01026768.1.p1	IBVS01039377.1.p1	ICFH01048091.1.p1, ICFH01032518.1.p1, ICFH01029003.1.p1	IBHE01001013.1.p1, IBHE01026840.1.p1	IAIC01015992.1.p1	IBRX01002686.1.p1	ICBF01039192.1.p1	IAEU01014297.1.p1	IBPZ01047056.1.p1, IBPZ01026274.1.p1, IBPZ01015913.1.p1	IAXT01036965.1.p1	IAFP01026007.1.p1	IAQC01042556.1.p1, IAQC01000611.1.p1	IAPM01034863.1.p1, IAPM01017052.1.p1, IAPM01007068.1.p1		IAGL01022625.1.p1	ICMU01039300.1.p1	IALM01029603.1.p1	ICBR01044681.1.p1, ICBR01012463.1.p1	IBTW01039349.1.p1	IARK01016250.1.p1, IARK01001742.1.p1	ICDS01039710.1.p1	IAWA01004231.1.p1	IATW01015636.1.p1	IBPN01035251.1.p1	IBYA01013330.1.p1	ICHT01006847.1.p1	ICKB01022907.1.p1	IAQN01026864.1.p1	IBJR01006279.1.p1	ICFA01002284.1.p1	ICAL01005445.1.p1	IBWO01024225.1.p1	IBAR01022605.1.p1	IAHB01007287.1.p1	IAPP01039220.1.p1	ICHM01041105.1.p1, ICHM01014454.1.p1, ICHM01011892.1.p1	IAUC01012370.1.p1	IAXS01003164.1.p1	IALE01033724.1.p1	GITM01042772.1.p1	IAHF01009112.1.p1	GITN01018971.1.p1	ICFC01025608.1.p1	ICMP01031942.1.p1	GITO01051942.1.p1	GITP01097423.1.p1	GITQ01094863.1.p1	IAJJ01001051.1.p1	GITR01060958.1.p1	IBMZ01038043.1.p1	ICEL01042187.1.p1	GJZJ01049699.1.p1, GJZJ01049699.1.p2	IBXZ01048947.1.p1	IAHP01015740.1.p1
N5.HOG0053707	OG0003848	n3	94	IANO01025539.1.p1, IANO01003726.1.p1, IANO01029748.1.p1	ICOJ01022699.1.p1	IBTE01004190.1.p1	ICBW01031910.1.p1		IAHS01027788.1.p1	IAWN01004022.1.p1	IAKU01040375.1.p1	IBBK01028357.1.p1	IASB01033811.1.p1	IBFJ01008326.1.p1	IAET01014909.1.p1	IAFU01022745.1.p1	IBQT01032618.1.p1	ICCG01005913.1.p1, ICCG01008847.1.p1, ICCG01007568.1.p1, ICCG01001231.1.p1, ICCG01000313.1.p1	IBGF01038727.1.p1	ICOF01023830.1.p1	ICOE01020092.1.p1	IBWR01041266.1.p1	ICJS01002404.1.p1, ICJS01038938.1.p1	IBTR01012038.1.p1	IAQZ01024014.1.p1	ICFD01015532.1.p1	IBHY01003395.1.p1	IBBP01028232.1.p1, IBBP01006422.1.p1	ICOI01033716.1.p1	GIWQ01236235.1.p1		IBJP01003177.1.p1	IBVW01015251.1.p1	IBZG01019320.1.p2, IBZG01043912.1.p1, IBZG01008186.1.p1	ICKS01007993.1.p1		ICBZ01026575.1.p1	IBIK01020900.1.p1, IBIK01002916.1.p1, IBIK01004491.1.p1, IBIK01010335.1.p1		ICGA01016946.1.p1	ICCR01001523.1.p1	IAUM01012310.1.p1	IAOT01006311.1.p1	ICEG01039209.1.p1	IAJV01005592.1.p1	IAFI01002836.1.p1	IAHZ01029952.1.p1	IBKS01031107.1.p1	IBFM01014397.1.p1	IBHV01016386.1.p1		ICDG01045879.1.p1	IBDY01012982.1.p1	IBVS01020808.1.p1	ICFH01015436.1.p1		IAIC01006923.1.p1	IBRX01016704.1.p1	ICBF01001197.1.p1, ICBF01008609.1.p1	IAEU01020988.1.p1, IAEU01036563.1.p1	IBPZ01025023.1.p1, IBPZ01024068.1.p1	IAXT01038753.1.p1	IAFP01020404.1.p1	IAQC01029930.1.p1	IAPM01013893.1.p1, IAPM01007532.1.p1		IAGL01038359.1.p1	ICMU01007495.1.p1		ICBR01000945.1.p1	IBTW01003197.1.p1	IARK01022332.1.p1	ICDS01020506.1.p1, ICDS01046419.1.p1	IAWA01038338.1.p1	IATW01019585.1.p1	IBPN01045080.1.p1	IBYA01006692.1.p1	ICHT01003563.1.p1, ICHT01039854.1.p1, ICHT01012949.1.p1, ICHT01023770.1.p1	ICKB01012799.1.p1	IAQN01038944.1.p1	IBJR01034635.1.p1	ICFA01034788.1.p1	ICAL01038124.1.p1	IBWO01033156.1.p1, IBWO01036964.1.p1	IBAR01037276.1.p1	IAHB01007022.1.p1	IAPP01004787.1.p1	ICHM01042041.1.p1	IAUC01023650.1.p1	IAXS01026631.1.p1	IALE01045010.1.p1, IALE01025292.1.p1	GITM01078117.1.p1	IAHF01017152.1.p1	GITN01005246.1.p1	ICFC01017490.1.p1	ICMP01041382.1.p1	GITO01066132.1.p1	GITP01075716.1.p1	GITQ01109037.1.p1	IAJJ01028707.1.p1	GITR01065545.1.p1, GITR01065549.1.p1	IBMZ01032598.1.p1	ICEL01036690.1.p1		IBXZ01025003.1.p1	IAHP01025683.1.p1
N5.HOG0053710	OG0003849	n2	35	IANO01034851.1.p1, IANO01004344.1.p1			ICBW01005525.1.p1		IAHS01020828.1.p1, IAHS01034421.1.p1		IAKU01024116.1.p1							ICCG01002113.1.p1		ICOF01035614.1.p1	ICOE01026266.1.p1	IBWR01030838.1.p1				ICFD01033472.1.p1		IBBP01021760.1.p1		GIWQ01201099.1.p1	ICGF01010224.1.p2				ICKS01032695.1.p1							IAUM01039449.1.p1		ICEG01001015.1.p2		IAFI01010815.1.p1		IBKS01028981.1.p1, IBKS01031342.1.p1		IBHV01038560.1.p1					ICFH01020607.1.p1													ICMU01032937.1.p1				IARK01022466.1.p1	ICDS01037356.1.p1, ICDS01003606.1.p1				IBYA01005276.1.p1		ICKB01028129.1.p1		IBJR01023870.1.p2		ICAL01022131.1.p1	IBWO01032636.1.p1			IAPP01000666.1.p1	ICHM01019392.1.p1		IAXS01000422.1.p1	IALE01019277.1.p1			GITN01053174.1.p1	ICFC01003390.1.p2	ICMP01031818.1.p1					GITR01054017.1.p1					
N5.HOG0053712	OG0003849	n57	48			IBTE01004966.1.p1						IBBK01036499.1.p1, IBBK01001235.1.p1				IAFU01025277.1.p1	IBQT01029985.1.p1		IBGF01032078.1.p1			IBWR01037579.1.p1		IBTR01039124.1.p1					ICOI01008009.1.p1		ICGF01010224.1.p1	IBJP01013828.1.p1	IBVW01016712.1.p1				ICBZ01001039.1.p1				ICCR01005092.1.p1		IAOT01007355.1.p1						IBFM01036351.1.p1			ICDG01014842.1.p1, ICDG01042959.1.p1		IBVS01028243.1.p1		IBHE01003402.1.p1	IAIC01009343.1.p1						IAFP01004322.1.p1, IAFP01006439.1.p1	IAQC01039045.1.p1					IALM01049125.1.p1	ICBR01011275.1.p1	IBTW01014274.1.p1			IAWA01027992.1.p1		IBPN01042379.1.p1	IBYA01010207.1.p1			IAQN01007585.1.p1	IBJR01023870.1.p1	ICFA01031993.1.p1		IBWO01017979.1.p1	IBAR01022828.1.p1	IAHB01018304.1.p1, IAHB01048634.1.p1	IAPP01004227.1.p1		IAUC01008784.1.p1			GITM01018416.1.p1			ICFC01003390.1.p1	ICMP01013622.1.p1	GITO01023040.1.p1	GITP01082072.1.p1	GITQ01037033.1.p1	IAJJ01037938.1.p1	GITR01054015.1.p1	IBMZ01010793.1.p1	ICEL01045953.1.p1	GJZJ01011194.1.p1, jg44562.t1.p1, jg1050.t1.p1	IBXZ01038876.1.p1	IAHP01019393.1.p1
N5.HOG0053717	OG0003850	n16	96	IANO01004615.1.p1	ICOJ01021143.1.p1	IBTE01013210.1.p1	ICBW01023689.1.p1		IAHS01043892.1.p1	IAWN01014037.1.p1	IAKU01008726.1.p1	IBBK01029399.1.p1	IASB01038727.1.p1	IBFJ01020544.1.p1	IAET01024737.1.p1	IAFU01016200.1.p2	IBQT01008010.1.p1	ICCG01037016.1.p1	IBGF01012686.1.p1	ICOF01028175.1.p1	ICOE01037078.1.p1, ICOE01019052.1.p1	IBWR01036825.1.p1, IBWR01022402.1.p1	ICJS01032054.1.p1	IBTR01009743.1.p1	IAQZ01010113.1.p1	ICFD01039166.1.p1	IBHY01023635.1.p1	IBBP01007145.1.p1	ICOI01015506.1.p1	GIWQ01139403.1.p1, GIWQ01108051.1.p1, GIWQ01364820.1.p1, GIWQ01108051.1.p2	ICGF01044383.1.p1, ICGF01000884.1.p1	IBJP01017319.1.p1, IBJP01028777.1.p1, IBJP01002789.1.p1	IBVW01013210.1.p1	IBZG01005297.1.p1	ICKS01023526.1.p1		ICBZ01042978.1.p1, ICBZ01021664.1.p1	IBIK01006894.1.p1		ICGA01002496.1.p1	ICCR01013428.1.p1	IAUM01017843.1.p1	IAOT01039597.1.p1	ICEG01045841.1.p1	IAJV01014406.1.p1	IAFI01027314.1.p1	IAHZ01024058.1.p1	IBKS01031870.1.p1	IBFM01031725.1.p1	IBHV01037394.1.p1		ICDG01002194.1.p1	IBDY01002042.1.p1	IBVS01012670.1.p1	ICFH01014051.1.p1	IBHE01029855.1.p1, IBHE01005022.1.p1	IAIC01025987.1.p1	IBRX01020923.1.p1	ICBF01009112.1.p1	IAEU01015212.1.p1	IBPZ01014026.1.p1	IAXT01031354.1.p1	IAFP01011360.1.p1	IAQC01033807.1.p1	IAPM01010030.1.p1		IAGL01031918.1.p1	ICMU01035307.1.p1	IALM01029296.1.p1, IALM01020442.1.p1	ICBR01031245.1.p1, ICBR01031245.1.p2	IBTW01018118.1.p1	IARK01030447.1.p1	ICDS01021723.1.p1, ICDS01012909.1.p1	IAWA01039303.1.p1	IATW01016398.1.p1, IATW01023941.1.p1	IBPN01000770.1.p1	IBYA01042184.1.p1, IBYA01019422.1.p1	ICHT01017309.1.p1	ICKB01009430.1.p1	IAQN01020808.1.p1, IAQN01030017.1.p2	IBJR01040409.1.p1, IBJR01048210.1.p1	ICFA01038951.1.p1	ICAL01018242.1.p1	IBWO01028613.1.p1, IBWO01000528.1.p1	IBAR01041235.1.p1	IAHB01048552.1.p1	IAPP01005359.1.p1	ICHM01018199.1.p1	IAUC01000155.1.p1, IAUC01004367.1.p1	IAXS01025946.1.p1	IALE01006196.1.p2	GITM01013524.1.p1	IAHF01037291.1.p1	GITN01043049.1.p1	ICFC01039471.1.p1	ICMP01034718.1.p1		GITP01076731.1.p1	GITQ01073767.1.p1, GITQ01073765.1.p1	IAJJ01030615.1.p1	GITR01089052.1.p1	IBMZ01009258.1.p1, IBMZ01012524.1.p1	ICEL01015907.1.p1		IBXZ01039553.1.p1	IAHP01035765.1.p1
N5.HOG0053718	OG0003851	n6	82	IANO01004649.1.p1	ICOJ01016224.1.p1	IBTE01016970.1.p1, IBTE01046113.1.p1	ICBW01012547.1.p1		IAHS01011798.1.p1	IAWN01037638.1.p1	IAKU01040073.1.p1	IBBK01031578.1.p1	IASB01027359.1.p1	IBFJ01029815.1.p1	IAET01016658.1.p1	IAFU01001139.1.p1	IBQT01013681.1.p1, IBQT01039840.1.p1	ICCG01019657.1.p1	IBGF01001379.1.p1	ICOF01033899.1.p1	ICOE01000924.1.p1	IBWR01008794.1.p1		IBTR01014152.1.p1	IAQZ01017218.1.p1	ICFD01018175.1.p1	IBHY01018726.1.p1	IBBP01031165.1.p1	ICOI01029985.1.p2		ICGF01029355.1.p1	IBJP01037654.1.p1	IBVW01043516.1.p1	IBZG01027901.1.p1	ICKS01004440.1.p1			IBIK01025331.1.p1		ICGA01014109.1.p1	ICCR01036330.1.p1		IAOT01024916.1.p1	ICEG01029504.1.p1	IAJV01025872.1.p1	IAFI01033346.1.p1	IAHZ01000958.1.p1	IBKS01010904.1.p1		IBHV01020234.1.p1		ICDG01012182.1.p1	IBDY01006227.1.p1	IBVS01022880.1.p1	ICFH01005083.1.p1				ICBF01039826.1.p1, ICBF01010796.1.p1	IAEU01016012.1.p1	IBPZ01030917.1.p1		IAFP01035801.1.p1	IAQC01014848.1.p1	IAPM01026139.1.p1		IAGL01031825.1.p1	ICMU01003175.1.p1		ICBR01030227.1.p1	IBTW01023691.1.p1				IATW01040881.1.p1	IBPN01029250.1.p1	IBYA01023753.1.p1	ICHT01030582.1.p1, ICHT01037484.1.p1	ICKB01004053.1.p1	IAQN01005808.1.p1	IBJR01011018.1.p1	ICFA01012871.1.p1	ICAL01001567.1.p1	IBWO01021390.1.p1	IBAR01022015.1.p1	IAHB01006243.1.p1	IAPP01005368.1.p1			IAXS01007045.1.p1	IALE01031298.1.p1	GITM01026793.1.p1, GITM01026792.1.p1	IAHF01030505.1.p1	GITN01076243.1.p1	ICFC01036572.1.p1	ICMP01005799.1.p1	GITO01069959.1.p1, GITO01069963.1.p1	GITP01066489.1.p1	GITQ01100319.1.p1	IAJJ01023561.1.p1	GITR01074890.1.p1	IBMZ01019205.1.p1	ICEL01017554.1.p1	jg36769.t1.p1	IBXZ01048904.1.p1	
N5.HOG0053729	OG0003852	n30	73	IANO01004951.1.p1	ICOJ01040559.1.p1, ICOJ01021277.1.p1		ICBW01021843.1.p1						IASB01016026.1.p1	IBFJ01003777.1.p1	IAET01021177.1.p1, IAET01005264.1.p1	IAFU01006095.1.p1	IBQT01009606.1.p1, IBQT01038587.1.p1	ICCG01018629.1.p1		ICOF01003698.1.p1	ICOE01002200.1.p1	IBWR01004398.1.p1	ICJS01013638.1.p1, ICJS01037058.1.p1	IBTR01031014.1.p1	IAQZ01035016.1.p1	ICFD01022131.1.p1	IBHY01009165.1.p1	IBBP01006711.1.p1	ICOI01039380.1.p1	GIWQ01305857.1.p1	ICGF01035050.1.p1						ICBZ01000520.1.p1	IBIK01042432.1.p1				IAUM01019377.1.p1		ICEG01038945.1.p1, ICEG01050478.1.p1, ICEG01038945.1.p2, ICEG01050478.1.p2	IAJV01024770.1.p1	IAFI01008120.1.p1	IAHZ01006100.1.p1	IBKS01032922.1.p1	IBFM01014486.1.p1	IBHV01041836.1.p1		ICDG01037054.1.p1	IBDY01031448.1.p1	IBVS01037717.1.p1		IBHE01016991.1.p1	IAIC01032286.1.p1	IBRX01015556.1.p1	ICBF01000286.1.p1, ICBF01007277.1.p1	IAEU01035446.1.p1	IBPZ01005937.1.p1, IBPZ01034260.1.p1	IAXT01027088.1.p1, IAXT01030264.1.p1			IAPM01032396.1.p1		IAGL01000792.1.p1	ICMU01028187.1.p1	IALM01015153.1.p1	ICBR01014396.1.p1	IBTW01022742.1.p1, IBTW01026996.1.p1	IARK01005934.1.p1	ICDS01026266.1.p1	IAWA01005885.1.p1	IATW01032339.1.p1	IBPN01010398.1.p1	IBYA01031729.1.p1	ICHT01021441.1.p1	ICKB01033351.1.p1, ICKB01022771.1.p1	IAQN01021569.1.p1		ICFA01026666.1.p1					IAPP01022142.1.p1	ICHM01043163.1.p1	IAUC01009847.1.p1			GITM01106822.1.p1	IAHF01003991.1.p1	GITN01048521.1.p1	ICFC01016707.1.p1	ICMP01021881.1.p1	GITO01033230.1.p1	GITP01112748.1.p1	GITQ01071339.1.p1	IAJJ01009871.1.p1	GITR01050108.1.p1		ICEL01006659.1.p1	GJZJ01094070.1.p1		IAHP01006697.1.p1
N5.HOG0053738	OG0003853	n69	71	IANO01004959.1.p1	ICOJ01004367.1.p1, ICOJ01006203.1.p1	IBTE01025610.1.p1	ICBW01033946.1.p1			IAWN01039586.1.p1	IAKU01045358.1.p1	IBBK01012757.1.p1	IASB01020936.1.p1	IBFJ01015850.1.p1	IAET01034592.1.p1			ICCG01003608.1.p1	IBGF01001332.1.p1	ICOF01035053.1.p1	ICOE01020055.1.p1	IBWR01037306.1.p1		IBTR01002736.1.p1	IAQZ01020485.1.p1	ICFD01003859.1.p1	IBHY01013283.1.p1		ICOI01006532.1.p1	GIWQ01149085.1.p1	ICGF01024517.1.p1	IBJP01015494.1.p1	IBVW01021851.1.p1	IBZG01025547.1.p1	ICKS01009079.1.p1		ICBZ01028335.1.p1	IBIK01000815.1.p1		ICGA01020374.1.p1	ICCR01010699.1.p1	IAUM01021191.1.p1	IAOT01009978.1.p1	ICEG01008703.1.p1	IAJV01010204.1.p1							ICDG01002768.1.p1	IBDY01026525.1.p1		ICFH01047063.1.p1	IBHE01037349.1.p1	IAIC01013817.1.p1	IBRX01031472.1.p1	ICBF01025960.1.p1			IAXT01022588.1.p1	IAFP01012295.1.p1					ICMU01014825.1.p1	IALM01025066.1.p1	ICBR01029729.1.p1	IBTW01005912.1.p1	IARK01015875.1.p1	ICDS01001274.1.p1	IAWA01008585.1.p1	IATW01022877.1.p1	IBPN01023274.1.p1	IBYA01000422.1.p1	ICHT01010734.1.p1		IAQN01013956.1.p1				IBWO01021009.1.p1		IAHB01034111.1.p1	IAPP01037227.1.p1	ICHM01042447.1.p1	IAUC01042254.1.p1, IAUC01017703.1.p1	IAXS01034277.1.p1, IAXS01001777.1.p1		GITM01115354.1.p1	IAHF01008203.1.p1		ICFC01032461.1.p3	ICMP01036364.1.p1	GITO01082144.1.p1	GITP01014575.1.p1				IBMZ01047471.1.p1		GJZJ01245904.1.p1, jg4088.t1.p1	IBXZ01007325.1.p1	IAHP01016323.1.p1
